id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Cluster,label,language
6kQ1oUJ5iyviFiqF8d73Ib,Roads,0.225,0.000289,0.887,0.846,0.219,0.197,-4.068,0.0947,165.213,1,3,4,Disgust,english
39lsUA9UsXxOly6beQTDmq,New Holy War,0.524,0.00203,0.982,0.00103,0.186,0.37,-3.318,0.112,119.976,11,3,5,Fear,english
5F1Z2TYyEXkeLORfNRXb4F,Fornfamnad,0.316,0.00112,0.942,0.00672,0.102,0.244,-5.371,0.114,124.853,0,4,5,Fear,english
24NZxP8aIM5BlA0aSMRXNn,Shallow Seasons,0.15,0.00056,0.771,0.00024,0.491,0.333,-10.871,0.0474,80.663,10,4,5,Fear,english
4H1yiZXnr2f7PhZv0w9Vpj,Magnificat,0.233,9.83E-06,0.949,0.632,0.0732,0.535,-7.402,0.0701,158.046,6,4,0,Happy,english
64hNdcvvPXoa1FieLcmvgo,Prefácio,0.569,0.0144,0.854,0,0.67,0.408,-10.937,0.102,99.029,11,4,5,Fear,english
4r0iMLzHLz4Q5OXMCAElDO,Abducted Remake,0.471,0.000808,0.989,0.7,0.156,0.194,-2.218,0.183,124.98,4,4,4,Disgust,english
5jXJzGJahYnVqtwjBG8TMD,Kitteldags,0.453,8.94E-06,0.922,0.00391,0.342,0.791,-5.653,0.0795,110.975,1,4,2,Neutral,english
59F2R3vSrHmzu86aTAmORP,Stonewoman,0.38,0.00304,0.929,0.00444,0.383,0.325,-5.357,0.0519,112.028,0,4,5,Fear,english
6o0255yyx7rynxtpJ1P9Qi,Confines of Human Flesh,0.244,0.000164,0.798,0.716,0.125,0.203,-8.332,0.116,181.326,1,1,4,Disgust,english
17Xm9Lpd9wwLygRGJZtbt4,Summerburned and Winterblown,0.497,2.26E-05,0.99,0.256,0.101,0.0452,-4.513,0.0779,124.992,4,4,5,Fear,english
6pPZ2i39Eaptz9yBWxH8Nd,Astronomicon,0.469,0.0136,0.991,0.00283,0.0732,0.0628,-3.702,0.155,110.022,9,4,5,Fear,english
4HhFjD4LrSDQmH64FTm4pI,Joe Ball Was His Name,0.336,9.31E-05,0.886,0.0308,0.218,0.633,-6.832,0.0344,111.205,7,4,5,Fear,english
5KsKRVuyqD7AvNdpZf0T9g,Punish Them,0.193,1.06E-06,0.696,0.789,0.227,0.0737,-4.937,0.0907,170.061,6,4,4,Disgust,english
66zJZw4rbRizY9M7Qp5sC3,Narrow Path,0.399,7.52E-05,0.832,0.661,0.107,0.207,-4.961,0.0524,119.897,7,4,4,Disgust,english
6iC8nKIYoEXapU3zeTHuwf,What's That Smell?,0.312,0.000499,0.968,0.00386,0.147,0.351,-6.247,0.0918,107.646,8,4,5,Fear,english
